epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.7918,2.20328,0.92857,1,0.20081,0.00011669,0.00011669,0.00011669
2,36.2379,1.3845,0.92857,1,0.20183,0.00020054,0.00020054,0.00020054
3,55.0544,0.74044,1,1,0.105,0.00023158,0.00023158,0.00023158
4,70.9984,0.20073,0.92857,1,0.13084,0.000209809,0.000209809,0.000209809
5,86.7951,0.18852,0.92857,1,0.66457,0.000135227,0.000135227,0.000135227
